"","kabupaten_kota","kacang_kacangan","kacang_tanah_tanpa_kulit","kacang_kedele","kacang_lainnya","tahu","tempe","oncom","hasil_lain_dari_kacang_kacangan"
"369","Nunukan",2279,105,NA,32,929,1156,53,4
"370","Kota Tarakan",3370,116,4,106,1486,1574,84,NA
"371","Bolaang Mongondow",2060,197,16,8,939,900,NA,NA
"372","Minahasa",1763,47,2,36,1090,588,NA,NA
"373","Kepulauan Sangihe",917,38,NA,28,702,149,NA,NA
"374","Kepulauan Talaud",1839,115,NA,105,1473,127,NA,18
"375","Minahasa Selatan",1983,216,NA,61,1035,638,6,28
"376","Minahasa Utara",2058,107,NA,32,1180,728,10,NA
"377","Bolaang Mongondow Utara",2051,439,NA,139,938,527,8,NA
"378","Siau Tagulandang Biaro",892,57,4,8,699,122,3,NA
"379","Minahasa Tenggara",1559,117,14,75,915,429,7,NA
"380","Bolaang Mongondow Selatan",1046,119,11,8,554,355,NA,NA
"381","Bolaang Mongondow Timur",1923,92,17,20,995,798,NA,NA
"382","Kota Manado",1996,86,NA,58,1072,773,8,NA
"383","Kota Bitung",2333,107,NA,27,1297,895,3,4
"384","Kota Tomohon",2529,97,NA,141,1499,781,11,NA
"385","Kota Kotamobagu",2151,101,5,19,1040,979,4,4
"386","Banggai Kepulauan",782,138,NA,20,440,181,3,NA
"387","Banggai",2111,94,NA,56,1111,840,10,NA
"388","Morowali",2254,149,3,27,991,1082,2,NA
"389","Poso",2658,212,NA,15,1258,1172,1,NA
"390","Donggala",1704,218,3,14,774,690,4,NA
"391","Toli-Toli",1438,222,NA,58,611,545,0,1
"392","Buol",1640,224,NA,43,829,544,NA,NA
"393","Parigi Moutong",1870,98,NA,52,846,866,7,NA
"394","Tojo Una-Una",1192,61,NA,49,574,507,NA,NA
"395","Sigi",2291,122,NA,8,1112,1048,1,NA
"396","Banggai Laut",696,68,1,2,448,176,NA,NA
"397","Morowali Utara",2494,279,5,46,1073,1060,7,24
"398","Kota Palu",2616,91,18,67,1253,1185,NA,2
"399","Kepulauan Selayar",1497,505,8,208,313,457,NA,6
"400","Bulukumba",1776,371,2,217,461,721,NA,5
"401","Bantaeng",1703,417,11,57,481,732,5,NA
"402","Jeneponto",1790,187,10,207,630,734,2,22
"403","Takalar",1329,176,NA,34,412,704,3,NA
"404","Gowa",2087,163,NA,55,775,1092,2,NA
"405","Sinjai",1822,558,9,60,554,630,10,NA
"406","Maros",1750,251,NA,51,690,758,NA,NA
"407","Pangkajene dan Kepulauan",1812,326,2,24,682,771,7,NA
"408","Barru",1702,401,8,24,528,734,7,NA
"409","Bone",1308,301,NA,64,398,536,4,3
"410","Soppeng",1354,322,NA,85,423,524,NA,1
"411","Wajo",1548,337,NA,14,500,697,1,NA
"412","Sidenreng Rappang",2402,382,3,42,858,1117,NA,NA
"413","Pinrang",1656,159,NA,1,623,873,NA,NA
"414","Enrekang",3588,309,2,43,1730,1500,4,NA
"415","Luwu",1502,193,NA,15,615,679,NA,NA
"416","Tana Toraja",1598,91,7,32,680,785,2,NA
"417","Luwu Utara",2117,302,4,133,744,927,NA,8
"418","Luwu Timur",2144,228,3,55,969,889,NA,NA
"419","Toraja Utara",1900,63,4,11,728,1092,1,1
"420","Kota Makasar",2669,274,NA,91,977,1295,22,10
"421","Kota Parepare",2269,191,NA,66,861,1150,NA,0
"422","Kota Palopo",1520,112,NA,32,677,699,NA,NA
"423","Buton",842,20,NA,16,403,404,NA,NA
"424","Muna",1423,81,3,33,677,629,NA,NA
"425","Konawe",2001,76,NA,37,938,950,NA,NA
"426","Kolaka",1713,116,2,9,744,840,NA,3
"427","Konawe Selatan",2416,147,2,12,1110,1145,NA,NA
"428","Bombana",1140,109,NA,56,510,465,NA,NA
