"","kabupaten_kota","makanan_dan_minuman_jadi","roti_tawar","roti_manis_roti_lainnya","kue_kering_biskuit_semprong","kue_basah_kue_lapis_bika_ambon_lemper_dsb","makanan_gorengan","bubur_kacang_hijau","gado_gado_ketoprak_pecel","nasi_campur_rames","nasi_goreng","nasi_putih","lontong_ketupat_sayur","soto_gule_sop_rawon_cincang","sayur_matang_ditumis_disantan_dsb","sate_tongseng","mie_bakso_mie_rebus_mie_goreng","mie_instan","makanan_ringan_anak_anak_krupuk_kripik","ikan_matang","ayam_daging_matang_ayam_goreng_rendang_dsb","daging_olahan_sosis_nugget_daging_asap_dsb_matang","bubur_ayam","siomay_batagor","makanan_jadi_lainnya","air_kemasan","air_kemasan_galon","air_teh_kemasan_minuman_bersoda_mengandung_co2","sari_buah_kemasan_minuman_kesehatan_minuman_berenergi","minuman_jadi_kopi_kopi_susu_teh_susu_coklat_dsb","es_krim","es_lainnya","minuman_keras"
"445","Kota Gorontalo",47780,431,1536,1527,2532,1939,376,1082,12912,2074,1327,11,688,1066,388,1627,225,1998,1999,1849,124,376,908,1814,2458,2599,374,866,1301,708,657,10
"446","Majene",27086,172,990,1124,2499,1026,34,535,4949,1253,306,398,52,442,169,2308,230,2936,758,540,100,27,641,810,498,1159,540,350,1734,312,166,24
"447","Polewali Mandar",26559,202,985,1172,1524,1797,32,560,3883,1290,1593,146,280,611,144,2159,276,1692,1359,774,134,58,776,597,454,348,336,570,2238,301,270,2
"448","Mamasa",15963,54,744,424,231,397,10,235,5456,548,1288,5,2,452,NA,550,217,699,1199,390,69,NA,115,207,205,12,40,95,2013,49,82,177
"449","Mamuju",16195,79,698,527,1020,791,13,434,2336,752,369,20,268,254,67,1370,96,1653,311,629,70,25,735,170,363,522,479,197,1143,219,496,88
"450","Mamuju Utara",28274,244,995,1603,2048,1398,85,1214,4108,492,383,59,267,465,326,3442,89,3015,495,366,103,65,933,408,525,1763,496,500,1292,511,583,NA
"451","Mamuju Tengah",26002,68,803,896,1569,874,74,1038,6999,1121,263,123,491,207,108,2311,171,2352,125,484,77,38,876,327,525,835,719,329,1597,305,281,17
"452","Maluku Tenggara Barat",17464,491,4588,685,384,1658,118,332,1668,1233,165,18,136,103,70,503,184,699,232,62,23,54,35,644,626,802,86,183,539,165,273,704
"453","Maluku Tenggara",17992,113,4992,775,264,1143,143,83,1696,592,595,2,348,548,204,653,122,552,859,319,18,156,36,790,702,681,130,188,715,134,387,53
"454","Maluku Tengah",23430,257,4902,464,492,2397,96,337,3632,1454,448,85,247,809,60,974,111,724,385,247,25,150,132,2331,391,761,94,204,321,320,443,141
"455","Buru",24126,334,3593,765,490,2182,193,782,3412,721,435,17,513,683,393,2176,149,1057,384,166,255,52,278,809,616,864,289,571,755,168,937,87
"456","Kepulauan Aru",20115,234,3011,317,679,2065,24,604,2742,1370,284,22,244,88,123,720,19,1005,130,1059,NA,57,1,1009,563,587,381,517,1274,275,176,536
"457","Seram Bagian Barat",19412,417,4731,590,326,2106,10,268,1859,1034,308,34,282,440,27,1001,246,748,255,133,4,116,22,1863,447,193,217,123,535,160,567,350
"458","Seram Bagian Timur",20153,88,3591,691,495,2029,95,159,2658,209,208,2,113,271,177,535,144,1000,210,33,81,10,5,3516,312,349,94,145,1405,111,995,423
"459","Maluku Barat Daya",18679,202,4389,562,298,1092,115,38,1636,320,886,7,85,770,NA,802,170,625,715,855,82,3,8,186,654,529,261,329,1357,125,286,1293
"460","Buru Selatan",13453,267,4058,383,251,1406,35,28,442,536,205,7,181,332,119,437,44,1067,271,367,30,17,7,562,149,346,35,226,316,92,518,717
"461","Kota Ambon",52247,1234,4054,1798,1287,2865,239,615,11383,1646,405,346,1132,1751,936,3273,222,1640,997,1170,253,612,266,3014,3034,1909,557,890,1805,1054,1198,663
"462","Kota Tual",19414,83,4191,952,379,1139,142,299,1863,851,359,NA,640,319,359,1178,64,437,355,434,1,88,21,511,969,996,514,522,849,181,695,21
"463","Halmahera Barat",16275,130,2127,993,1085,1296,104,249,2972,995,257,NA,166,515,73,829,19,626,485,512,163,86,43,18,234,525,192,186,408,125,529,334
"464","Halmahera Tengah",27016,243,2302,745,601,1377,140,845,5897,465,1157,33,195,880,6,663,21,1043,433,2971,14,90,442,212,1208,957,591,588,1054,126,1199,517
"465","Kepulauan Sula",13095,28,3397,298,230,1193,13,85,1435,752,828,9,87,415,44,701,37,401,112,189,NA,48,386,76,364,783,3,18,45,77,722,318
"466","Halmahera Selatan",19595,257,2600,505,384,1400,103,94,4578,546,617,11,100,806,25,657,34,1337,631,240,17,39,169,709,407,234,170,161,1348,14,1268,134
"467","Halmahera Utara",21661,252,2304,766,1525,1775,279,326,1982,1641,224,89,477,513,265,1694,189,931,672,756,73,196,415,77,623,1122,213,157,730,234,935,227
"468","Halmahera Timur",24583,139,2454,513,638,1433,308,481,4695,622,743,4,485,691,85,1694,279,1064,619,1579,528,28,72,336,330,1456,407,236,707,362,1332,263
"469","Pulau Morotai",23552,407,3391,1205,824,3100,206,273,2436,1088,174,NA,176,696,155,846,201,567,846,873,292,150,271,33,937,1825,164,143,906,300,900,165
"470","Pulau Taliabu",8147,25,3150,140,166,629,28,30,963,186,78,NA,NA,75,18,159,16,502,26,37,5,3,24,932,80,173,21,22,95,2,428,135
"471","Kota Ternate",59063,344,4178,1977,4924,4775,488,1515,11735,3325,731,319,986,1760,738,2693,104,1228,2512,3799,190,811,312,1071,1984,1963,597,546,1617,712,1116,12
"472","Kota Tidore Kepulauan",32136,146,4133,1583,1464,1964,183,623,4843,2835,810,73,516,796,381,1732,71,860,957,2279,441,209,172,185,1042,1114,184,275,675,273,1318,NA
"473","Fakfak",32442,553,1054,1020,1134,1803,280,426,5326,729,950,25,559,1121,372,2292,175,1717,1381,1149,159,113,166,322,2323,1515,1262,871,2057,607,324,655
"474","Kaimana",24927,159,1510,823,762,1191,110,516,3301,3158,211,14,441,514,450,1125,342,1240,408,450,93,158,261,1621,1661,1546,665,481,491,140,603,484
"475","Teluk Wondama",15722,42,316,1082,1097,822,1,64,4182,150,76,NA,445,89,81,899,79,1201,54,400,250,32,69,792,649,501,666,275,788,270,209,143
"476","Teluk Bintuni",43746,339,2181,1455,2802,2415,179,781,6639,1228,696,9,596,371,845,3498,250,1811,604,2575,375,55,349,938,5369,2340,1513,720,1609,727,422,57
"477","Manokwari",30579,546,1291,1045,1152,1836,343,736,3485,677,349,68,291,275,726,4705,74,1207,248,622,196,204,449,1611,1858,2319,1699,672,812,698,277,109
"478","Sorong Selatan",16436,124,848,1284,355,1480,96,426,2129,378,230,6,63,199,43,1706,202,716,272,120,7,25,403,653,1448,409,747,200,1032,213,477,146
"479","Sorong",32985,356,1297,1334,1818,1740,374,1144,6894,755,157,196,191,674,402,3264,68,673,476,247,118,491,2340,703,1691,1873,519,681,809,535,986,177
"480","Raja Ampat",18703,437,2668,1940,1091,1744,134,133,1755,725,439,86,125,317,31,583,92,1333,433,269,NA,32,182,506,902,225,647,355,516,66,589,349
