"","kabupaten_kota","makanan_dan_minuman_jadi","roti_tawar","roti_manis_roti_lainnya","kue_kering_biskuit_semprong","kue_basah_kue_lapis_bika_ambon_lemper_dsb","makanan_gorengan","bubur_kacang_hijau","gado_gado_ketoprak_pecel","nasi_campur_rames","nasi_goreng","nasi_putih","lontong_ketupat_sayur","soto_gule_sop_rawon_cincang","sayur_matang_ditumis_disantan_dsb","sate_tongseng","mie_bakso_mie_rebus_mie_goreng","mie_instan","makanan_ringan_anak_anak_krupuk_kripik","ikan_matang","ayam_daging_matang_ayam_goreng_rendang_dsb","daging_olahan_sosis_nugget_daging_asap_dsb_matang","bubur_ayam","siomay_batagor","makanan_jadi_lainnya","air_kemasan","air_kemasan_galon","air_teh_kemasan_minuman_bersoda_mengandung_co2","sari_buah_kemasan_minuman_kesehatan_minuman_berenergi","minuman_jadi_kopi_kopi_susu_teh_susu_coklat_dsb","es_krim","es_lainnya","minuman_keras"
"152","Kepulauan Anambas",44977,299,1155,1242,5076,2151,97,1761,3987,2979,225,2472,946,1035,1214,3930,464,1854,750,1827,467,971,90,1160,236,2171,345,411,3360,614,1545,142
"153","Kota Batam",70291,1028,2915,1947,2427,2215,549,1704,4399,2218,3940,3165,1463,2265,1292,5285,258,2491,3334,7825,950,1295,819,1622,1405,4198,978,1183,4093,1794,1159,75
"154","Kota Tanjung Pinang",65803,769,2350,1492,2200,1738,341,1601,10928,2410,1234,3840,2734,1425,1495,4364,249,2787,2707,4128,672,1605,493,1367,1026,2850,823,763,4679,1244,1465,27
"155","Kep. Seribu",48800,769,2744,697,1441,5045,1268,1552,4249,2532,884,618,943,900,722,4550,511,1445,1029,1586,985,1353,1484,1334,2053,3558,147,208,1229,926,2037,NA
"156","Kota Jakarta Selatan",90733,1324,3224,2172,2175,2972,939,3355,15483,3769,1604,1894,4028,1568,2415,5816,416,2550,1314,3775,1493,4207,2534,4069,2462,4974,1269,1254,3768,1442,2458,7
"157","Kota Jakarta Timur",77108,1234,2592,1951,2031,2793,1259,3013,11503,3918,2082,2453,3160,1849,1661,5718,665,1610,1695,3317,1136,3383,2473,1947,1792,4482,672,1442,2502,1224,1547,4
"158","Kota Jakarta Pusat",98804,1057,3647,1747,2503,2883,1790,4135,15277,5131,2280,3844,4219,2033,2044,7876,1058,1641,1996,3558,1131,6014,3217,1694,3143,4376,857,1684,4060,1251,2633,26
"159","Kota Jakarta Barat",94225,1127,3665,2382,2830,3223,1403,3270,12024,4386,1761,2554,3491,2057,2088,7414,869,2560,2254,3923,1467,5860,2963,3730,2957,4150,1058,1435,3001,1362,2880,84
"160","Kota Jakarta Utara",107792,1400,4343,2545,3846,3526,1915,3895,13182,4037,2992,3264,4330,2224,2164,8210,1058,2297,2982,4130,1892,4616,2736,5288,4389,4338,1097,1608,4249,1518,3685,34
"161","Bogor",47769,530,2074,1584,1108,2761,565,1518,6573,1445,695,997,1033,910,678,5941,459,2286,495,1705,773,2606,1381,1794,862,1502,567,586,2095,1099,1145,3
"162","Sukabumi",36634,355,1955,1167,1051,3067,581,674,1612,976,1904,338,331,816,425,5908,554,1993,537,1366,676,2240,1000,1266,627,917,458,707,1832,825,473,4
"163","Cianjur",37819,268,1915,1502,1194,2914,508,499,3751,516,463,479,219,795,237,5004,635,2386,481,1341,1126,1751,1417,2283,566,719,678,1012,1771,799,588,2
"164","Bandung",49806,577,2360,1938,2030,3581,686,582,3542,1191,459,1238,1002,1771,726,6657,225,3007,598,2146,1129,2249,2091,2078,543,1854,937,985,1699,1157,764,3
"165","Garut",33080,227,1502,1026,867,2750,383,421,4466,686,448,372,214,644,191,5204,516,1852,185,943,769,786,1645,1919,189,490,302,676,1980,738,688,4
"166","Tasikmalaya",35071,196,1600,1541,1122,2787,512,398,2770,533,1103,361,574,2032,494,4271,731,2015,698,2041,730,914,1241,1142,373,745,309,783,1818,627,609,3
"167","Ciamis",41869,313,1964,1749,1397,2536,627,878,3990,680,1201,523,574,3498,787,4605,278,2437,1330,3173,1101,808,1299,1163,307,963,437,495,1501,693,561,NA
"168","Kuningan",55635,557,2493,1971,2187,4228,903,1324,7098,1865,886,731,738,2428,731,5897,386,2976,491,2156,1258,3218,2058,1767,473,944,1091,662,2384,1014,720,NA
"169","Cirebon",54622,292,2006,1825,1540,3548,681,1827,6811,1393,919,841,950,2785,700,5724,410,2611,1443,2887,1245,1852,1795,1949,752,1599,502,403,2462,671,2197,2
"170","Majalengka",54268,442,2011,1766,1875,4079,551,1125,4922,1161,1373,733,1027,5419,913,5267,652,2826,891,4215,972,1999,1921,1604,589,1276,942,551,1594,764,804,NA
"171","Sumedang",49055,386,2319,1606,1572,3210,643,758,5935,1088,811,911,713,2355,655,5575,372,2790,531,2790,1171,1424,2355,1987,709,1113,752,639,2092,1052,738,3
"172","Indramayu",65283,609,2780,2262,2934,4701,872,2707,6660,2342,718,1469,648,1483,1149,5313,710,3521,2644,2497,1472,2229,1902,1689,1233,2347,1202,1170,2251,1039,2703,28
"173","Subang",54034,494,2011,1589,1341,3515,923,1157,2847,1620,1247,1781,1669,2294,966,5874,490,2467,1943,3650,1032,2312,2041,1783,1202,1233,1458,778,2053,953,1253,60
"174","Purwakarta",62821,569,2634,2036,1390,3814,609,1046,10919,1978,697,553,1293,1497,1707,7321,789,2616,404,2647,1383,3122,1659,1982,1291,1589,946,955,2619,1514,1131,111
"175","Karawang",58753,664,2126,1163,2019,3682,856,1572,7213,2448,884,1559,853,2183,828,5889,984,1756,1891,2723,1204,3614,1587,1996,1176,2668,706,786,1796,1303,626,NA
"176","Bekasi",71740,664,2634,1481,1618,3530,1083,2120,13517,3231,549,1215,1771,1336,941,6801,926,2138,1138,2868,1364,3620,2610,1311,1500,4382,1063,906,2901,1215,1310,NA
"177","Bandung Barat",34069,246,1598,1277,826,2439,404,369,3857,732,359,812,393,908,521,4157,171,2043,203,1575,956,1802,1204,1593,384,940,530,880,1392,981,514,NA
"178","Pangandaran",44887,377,2310,1587,2177,3007,822,1721,1688,1628,826,1191,2221,1834,1517,5113,223,1874,765,1921,1136,1220,1592,971,336,1518,720,620,1763,892,1316,NA
"179","Kota Bogor",69763,1219,2909,1955,2151,3055,674,2205,9486,1976,1115,1309,2791,1562,1507,8218,412,1808,834,2843,1009,3133,1976,3484,1243,3274,735,808,2779,1227,2058,7
"180","Kota Sukabumi",57579,1197,2005,2408,1647,3039,1042,938,4030,970,1398,682,1037,1359,1082,6978,287,3202,1242,3309,1166,5063,1581,2921,679,2072,940,1362,1554,1240,1128,23
"181","Kota Bandung",80210,1355,2774,2664,2355,3486,1107,1153,9881,3081,1749,1897,2108,2677,1659,7961,479,2830,1470,4471,1325,4056,2686,3212,1276,4250,1179,1752,2759,1362,1074,125
"182","Kota Cirebon",66575,936,2718,2332,2197,2621,1335,2563,7670,2305,1081,1684,2167,2998,1930,5745,513,2076,1229,3516,1365,2131,2446,2077,1542,1974,523,549,2299,1177,2859,20
"183","Kota Bekasi",91869,1543,2792,2373,2444,2976,1245,3003,15006,4308,1988,2095,3383,2167,2063,7356,527,3059,1545,3997,1481,4227,2943,3084,2135,5841,669,1641,3091,1335,1554,NA
"184","Kota Depok",83807,1270,3314,2554,2259,3166,775,2479,13563,3296,1440,1464,3140,1851,2052,7269,488,2727,1550,3940,1055,3668,2167,3007,2327,4321,782,1371,2632,1522,2349,9
"185","Kota Cimahi",69666,1130,1931,2414,1971,2699,1036,1228,5647,2801,2244,1742,1836,2496,1670,6976,511,2881,1117,3869,1335,3193,2691,3405,1389,3814,1202,1618,2218,1198,1397,6
"186","Kota Tasikmalaya",59869,754,2271,1875,1585,2915,1567,1289,2822,2921,956,483,1212,4769,1544,8207,449,2599,918,3147,1696,4540,1758,2172,338,1945,551,810,1323,1076,1381,NA
"187","Kota Banjar",44749,744,2587,1432,1588,2505,836,1392,2135,1768,653,1184,1656,2403,938,5930,166,1795,868,2380,640,1483,1291,1490,389,1741,121,667,1283,879,1805,4
"188","Cilacap",27598,260,1253,685,1008,1931,239,857,3763,645,498,184,1098,1276,729,3334,166,1101,343,781,487,437,1217,569,224,946,239,277,1513,691,838,10
"189","Banyumas",39417,305,1484,1631,2494,2363,541,847,5860,885,614,204,1298,1624,840,4274,152,1713,644,2248,884,563,1341,817,301,750,368,370,2246,734,1021,1
"190","Purbalingga",27957,156,917,1048,1420,1620,252,576,5038,529,337,94,912,1000,591,3480,118,1531,243,1321,915,300,1312,490,195,298,265,318,1473,745,453,11
"191","Banjarnegara",34006,253,1231,1263,1581,2452,450,376,6513,640,1685,55,518,1047,537,3959,251,1834,294,1665,729,307,904,932,121,343,243,261,2337,955,273,NA
"192","Kebumen",33739,202,1369,1310,1603,2207,209,416,6561,490,681,172,571,1256,406,2996,94,1999,444,1669,487,277,1034,930,350,799,490,190,2582,701,1206,40
"193","Purworejo",31108,167,1452,1674,1903,2365,405,600,3834,247,947,140,826,1625,447,2892,163,1542,707,1767,508,388,985,538,310,498,234,152,2407,534,850,NA
"194","Wonosobo",35134,206,1047,995,1471,2859,261,125,4277,508,1722,84,707,1079,709,4421,113,2160,451,3500,791,159,1280,1302,310,140,299,302,2587,922,349,NA
"195","Magelang",32746,195,1272,1073,1655,2848,251,303,4937,1032,705,103,964,1049,614,3875,227,1885,505,1909,634,186,561,1362,253,375,265,301,2456,624,315,12
"196","Boyolali",33088,161,1116,1002,872,1754,242,496,4585,988,928,322,1911,1252,951,3435,60,2024,391,1521,522,569,1449,923,307,825,215,253,2901,510,545,58
"197","Klaten",33841,221,823,1111,1184,1799,317,636,3791,962,924,163,2235,2107,999,3057,193,1848,716,1964,567,565,1091,827,456,1000,82,231,2475,607,888,3
"198","Sukoharjo",40781,265,1384,1110,1159,2093,705,1160,3938,1431,628,214,2784,2135,983,4240,121,1540,318,2402,615,457,1218,1472,369,2053,192,237,3342,562,1654,NA
"199","Wonogiri",28330,157,1337,1044,740,1678,165,559,5275,599,381,67,1032,1080,675,3834,178,1168,485,1624,303,78,527,1141,246,497,43,190,2195,591,439,2
"200","Karanganyar",36052,273,1238,845,965,1777,377,551,4372,1293,1092,223,2467,1649,886,3823,277,1518,609,2078,513,315,1017,861,369,1143,169,439,3724,616,574,NA
"201","Sragen",33222,176,1260,847,998,2053,342,848,4325,1189,589,396,1672,1053,776,3971,116,1899,284,1463,476,262,1042,443,573,1810,82,173,2566,605,928,6
"202","Grobogan",32271,87,725,630,597,2019,169,1099,5604,936,391,947,621,878,499,3898,269,2124,210,773,945,110,955,482,370,2139,244,216,3034,496,793,12
"203","Blora",41711,153,998,1086,1168,2608,201,1169,3587,1268,1558,1013,1224,2181,688,4483,254,3059,731,2646,877,197,751,984,496,2297,313,326,3806,642,946,NA
"204","Rembang",43622,125,1267,1039,1652,2692,306,802,4691,1201,1460,641,932,2092,375,4499,191,3466,1058,1693,1334,134,631,1542,684,2584,246,326,3950,681,1071,257
"205","Pati",45442,312,1809,1503,2013,2683,528,1064,3355,1567,1141,1284,847,1290,589,4678,363,2864,1737,1995,1167,361,1233,1108,685,2252,221,596,3762,856,1579,NA
"206","Kudus",42158,208,1246,1217,1580,2216,472,1457,4019,1549,1245,710,1487,1179,1038,3957,198,2344,1682,1854,1032,236,1238,1868,402,1484,175,248,4146,619,1052,NA
"207","Jepara",40260,87,1466,1067,1884,2531,379,1393,4858,1420,520,706,1722,918,401,4754,207,2262,1276,1470,929,173,1001,1078,363,839,246,315,4390,753,820,31
"208","Demak",42283,255,1697,1029,1304,2961,496,1702,3142,1557,365,602,1810,1305,683,5325,338,2971,842,1045,1287,284,1656,736,467,2215,506,329,3407,821,1145,NA
"209","Semarang",38060,306,1327,1435,1497,2239,321,527,5969,1189,718,200,1441,1392,1031,4259,95,2360,531,1840,958,330,1385,1097,405,655,302,292,2539,775,487,156
"210","Temanggung",23438,111,906,824,1169,1507,180,326,5572,486,163,43,299,614,534,2946,79,1706,65,540,923,117,574,695,170,177,173,167,1632,590,149,NA
"211","Kendal",35927,255,1246,1220,847,1798,245,538,4690,1281,779,210,885,1215,791,4309,224,2455,724,1443,1321,386,1522,851,659,1146,203,285,2872,689,839,NA
"212","Batang",35929,151,1569,1276,1361,3574,461,876,4408,1024,244,134,1185,828,547,4522,90,2905,1204,1161,1035,364,1286,832,269,178,238,160,2477,685,887,NA
"213","Pekalongan",50150,216,1813,2025,1996,3723,533,1213,6464,1373,1155,344,1223,2319,664,4304,245,3230,1847,2530,1488,765,1801,1280,502,613,548,304,3445,548,1336,302
"214","Pemalang",46347,346,2164,1757,1914,3149,468,1484,6358,1249,489,595,956,3138,596,4751,194,3005,1158,2250,1216,806,1716,1025,434,854,479,373,1891,657,876,NA
"215","Tegal",45759,336,1711,1574,1626,2374,535,742,9546,1138,473,774,818,2453,744,4106,225,3358,930,1712,1354,941,2101,796,464,809,404,313,1718,864,820,NA
"216","Brebes",45648,221,1825,1327,1853,3146,544,965,7881,1226,754,573,585,2419,789,4951,423,2342,1324,1418,1201,788,1916,562,686,864,583,345,2099,696,1340,1
"217","Kota Magelang",48745,599,2463,1573,1997,2003,372,628,5872,3213,1235,244,2436,2313,1810,5103,248,2090,1160,3776,706,438,903,1091,1174,943,207,272,2637,855,386,NA
"218","Kota Surakarta",64474,905,2766,2181,2210,2714,838,1815,5030,2374,2176,521,3777,3128,1702,5912,420,2466,1177,4084,1064,1119,1127,1946,1137,3475,252,762,5064,773,1558,NA
"219","Kota Salatiga",66838,1001,3864,2553,2866,2943,489,1240,6727,3425,2235,216,2481,2786,1438,5065,204,3922,2040,5904,843,564,900,2935,1105,1607,224,907,4515,868,811,161
"220","Kota Semarang",65974,984,3088,2117,1799,2644,455,1591,11911,2554,491,478,3045,1860,1589,4955,216,2657,1337,3611,1385,793,1188,2602,1381,3389,233,402,4792,1230,1195,3
"221","Kota Pekalongan",67916,614,2872,1813,2756,3820,1205,1721,8949,2651,1344,473,3258,1962,1747,6081,346,2619,2685,4412,1427,1507,1733,2377,543,1124,428,499,4282,927,1741,NA
"222","Kota Tegal",80820,444,3159,3108,3527,3423,1433,1702,17743,2147,1138,2117,2335,3702,1413,5563,695,3510,2253,3444,1717,2088,2169,2224,916,933,356,547,4422,989,1602,0
"223","Kulon Progo",32225,114,892,1840,1918,2344,273,464,2484,290,2204,70,1250,2422,555,2676,105,1915,1067,2806,350,299,416,597,367,668,121,180,2585,502,455,NA
"224","Bantul",54083,378,1634,1425,2339,2311,372,873,6135,1472,1100,276,2814,2016,2182,4842,120,3068,2332,4590,936,687,1226,1531,675,1994,341,969,3195,924,1265,63
"225","Gunung Kidul",27648,108,1177,1190,1438,2452,202,504,4165,291,805,81,1002,1029,543,2878,49,1416,544,2028,310,57,608,249,383,571,254,142,2245,495,433,0
"226","Sleman",69593,729,2844,2494,3888,3105,575,1569,3694,2239,3578,262,3374,3779,2080,5311,320,3088,3488,8008,1504,911,980,1020,1167,2135,277,540,4045,1168,1333,91
"227","Kota Yogyakarta",70230,1041,2998,1886,2593,2451,763,1530,7368,2863,2095,401,4662,3608,2266,5224,436,2148,2569,6216,931,1008,1437,1579,1344,2706,359,304,5014,753,1678,NA
"228","Pacitan",22080,33,1002,660,1238,1249,306,348,5692,262,179,579,1131,263,258,1887,135,1065,119,220,237,44,146,579,288,237,102,147,3020,445,207,2
"229","Ponorogo",32503,224,1336,1150,1571,2484,311,1970,2637,1084,1016,158,1823,1054,669,3396,190,1643,274,1201,488,193,409,985,194,1033,214,244,3158,526,869,NA
"230","Trenggalek",27495,49,609,738,1239,1341,398,834,6504,750,799,369,1007,1272,372,2486,116,1691,211,744,226,41,267,733,237,493,246,235,2736,527,226,NA
"231","Tulungagung",37692,206,1101,854,1832,1686,546,2145,2808,2197,964,929,2079,1585,987,4140,244,2091,359,1424,696,180,426,816,412,1134,574,322,3344,666,944,NA
"232","Blitar",36446,88,834,854,1709,1469,154,1338,7253,1492,1238,179,2129,1542,612,4379,152,1905,278,1191,547,76,302,1439,375,544,374,238,2296,611,849,NA
"233","Kediri",34662,132,718,1102,1462,1533,351,1588,4906,1860,988,708,1902,1269,650,3895,361,2537,90,650,546,107,733,885,316,664,276,282,2631,646,876,NA
"234","Malang",33178,298,811,1263,1224,1264,134,1033,4376,1519,736,295,2852,835,434,4845,171,2268,198,970,554,113,325,1312,364,610,297,194,2352,977,552,4
"235","Lumajang",37987,315,1017,1032,2284,1640,509,2228,2054,1931,1582,918,2935,707,806,5217,360,2033,613,1250,777,233,387,1406,491,209,367,426,2839,698,723,NA
"236","Jember",35170,185,1049,1075,1915,1422,136,1293,2845,1192,1532,514,2241,739,563,4981,242,2712,322,1241,841,75,265,1888,418,578,306,390,2456,778,973,1
"237","Banyuwangi",40742,236,1448,1098,1769,2040,293,1680,2079,1817,2223,525,2460,1547,688,5013,249,2747,590,1549,631,205,356,2403,782,1047,618,410,2080,833,1216,111
"238","Bondowoso",33696,259,734,1116,1803,1338,109,988,7423,872,1233,107,1224,243,411,4583,249,3549,109,671,738,50,309,962,487,136,185,185,2306,883,436,2
"239","Situbondo",36041,208,1081,1364,2031,1843,135,1800,2347,1857,1562,798,1595,608,409,4632,363,2880,544,942,700,524,430,817,506,574,300,296,3315,765,731,84
"240","Probolinggo",28443,153,1142,890,1409,1557,44,716,2864,1077,819,239,1406,235,507,3721,144,2401,291,551,761,50,338,1689,233,388,355,270,2687,769,738,NA
"241","Pasuruan",37203,261,1210,990,1542,1981,226,1090,1146,2365,2330,381,2078,636,568,5397,489,2791,738,1949,783,76,358,1068,518,714,303,268,3412,757,777,1
"242","Sidoarjo",62234,1164,1753,1549,1832,1732,692,2407,5585,4845,1186,664,3826,689,1364,7322,460,2566,822,2100,1295,906,1674,2361,1140,4047,574,1019,4129,1366,1164,NA
"243","Mojokerto",48723,429,1302,1921,2223,2179,307,1604,4317,3312,855,413,3759,621,769,6659,394,3041,680,1364,1041,154,696,1558,739,1574,414,462,3321,1124,1492,1
"244","Jombang",42955,377,1453,1426,1584,1910,463,1810,2615,2210,1724,587,2434,1330,479,4434,306,2572,748,1492,843,153,731,1617,1098,1909,564,562,3053,1034,1410,26
"245","Nganjuk",35693,141,794,1253,954,1705,285,1467,2908,1557,1752,449,1096,1360,585,4991,320,2942,312,1143,666,120,617,1259,316,1211,360,302,2798,862,1162,7
"246","Madiun",33730,110,1082,1003,1328,2189,235,1320,2998,1026,1911,236,1470,1695,431,3700,292,2052,514,1265,408,45,151,1087,304,991,187,229,3569,698,1204,NA
"247","Magetan",32211,48,932,1163,1424,2218,251,1513,2381,846,1226,427,1437,1134,383,3634,86,1692,313,1604,368,133,309,1546,348,751,204,220,4134,490,979,17
"248","Ngawi",30768,122,1153,647,1435,2276,477,1430,1914,983,726,545,1388,1033,608,4008,268,1914,144,849,666,261,377,1099,346,896,216,225,2850,587,1323,2
"249","Bojonegoro",33987,267,744,724,1168,1921,179,1192,2649,1705,1150,1343,1257,1009,503,4218,163,2071,552,980,839,65,489,1272,318,1774,281,325,2698,607,1527,NA
"250","Tuban",39171,199,920,1157,1888,2016,299,1852,2699,1736,1171,637,1451,1308,583,3914,255,3333,824,1253,1115,75,635,1662,309,2511,322,240,2288,791,1725,2
"251","Lamongan",43337,310,1091,1039,1667,2627,449,1563,1418,2985,1395,627,2323,743,555,5527,481,2204,670,1430,944,158,588,1165,609,2738,284,361,4557,963,1868,2
"252","Gresik",59080,584,1595,1473,1909,2978,542,2427,3465,3544,1160,722,2633,746,1179,7027,446,2760,956,1574,1901,525,1265,1720,1379,4140,615,901,5579,1114,2217,4
"253","Bangkalan",25194,272,886,464,943,1591,412,1544,1882,1448,397,954,1371,147,478,2600,480,1881,296,450,495,135,296,1018,508,572,450,238,1648,355,971,10
"254","Sampang",20301,77,820,415,676,1656,70,1013,2790,831,123,832,524,23,329,1744,123,2211,49,174,427,25,132,1544,688,366,369,339,1116,491,322,NA
"255","Pamekasan",23921,224,674,797,1068,1169,127,691,5255,635,330,439,654,117,151,1990,202,2047,135,274,823,71,336,1397,824,333,277,257,1359,688,577,0
"256","Sumenep",52896,234,1563,1191,2445,3130,678,2767,7350,1896,2807,1155,4045,979,851,3542,693,2486,708,1583,853,725,464,1732,1890,506,629,568,3409,706,1307,5
"257","Kota Kediri",63746,838,1768,1934,2858,2414,423,2810,6097,4461,2927,906,2495,2626,1531,5949,236,3419,1097,2739,851,804,1213,2033,899,2412,382,782,4269,965,1606,NA
"258","Kota Blitar",65687,779,1990,1578,2826,2193,334,3127,9744,3529,1822,678,3342,3142,1569,6089,205,4294,749,2489,924,462,930,2228,814,2425,886,622,2875,1105,1759,176
"259","Kota Malang",56240,981,1454,2018,1961,1653,277,1537,6081,2969,1821,255,2808,1284,1304,6215,239,3455,1219,3638,619,639,814,3086,877,2428,489,667,3641,782,941,88
"260","Kota Probolinggo",45750,478,1484,2101,2292,2074,294,1907,2756,2368,1449,322,1868,497,1057,5446,120,3588,822,1907,778,214,810,2865,483,2069,444,367,2173,947,1765,4
"261","Kota Pasuruan",61038,707,1809,1840,2379,1750,259,2212,6665,4043,1303,558,2815,832,1080,8261,276,4352,1038,2064,1461,515,1130,2530,758,2558,402,388,3475,1039,2525,14
"262","Kota Mojokerto",61060,655,2160,2114,2267,2338,340,2661,5717,4241,1928,321,3866,1720,1318,6376,110,3072,1200,2798,903,597,937,1392,535,5041,423,376,3051,1133,1464,4
"263","Kota Madiun",68764,886,2807,2051,2842,2887,925,3927,5610,2494,2089,492,2955,2455,1433,5390,310,3199,1123,3457,876,1057,1096,2618,1493,4778,626,1042,4320,1113,2400,14
"264","Kota Surabaya",72504,1177,2023,2336,2444,2472,802,3691,4366,4925,1560,1176,4465,1053,1727,7977,431,2466,1154,2363,1265,1535,1905,2158,1629,5408,811,1016,4874,1143,2140,12
"265","Kota Batu",51009,465,1495,1383,1793,1483,408,1409,5651,2939,1441,255,4735,1329,1249,7379,215,3344,456,2278,734,427,980,858,559,1062,371,363,4398,1008,544,NA
"266","Pandeglang",30121,72,1880,1194,1180,2524,235,694,2832,800,308,820,166,502,176,3573,564,2151,683,301,705,1444,806,1060,296,436,489,679,2096,677,777,NA
"267","Lebak",41640,220,2600,1596,1204,3303,339,946,4503,1545,1013,577,206,773,277,5935,1186,2546,647,827,657,1772,573,1089,651,351,756,893,2938,727,978,12
"268","Tangerang",61788,591,2605,1169,2010,3239,1249,2379,8772,2414,640,2234,1240,1208,1156,5512,676,2169,998,2180,1328,3511,2213,1734,1389,2957,516,789,2062,1016,1830,NA
"269","Serang",39326,191,2523,1301,938,3116,383,975,6173,1081,240,1145,252,288,245,4972,543,2064,290,659,758,1190,1561,723,955,1283,508,611,2290,794,1272,2
"270","Kota Tangerang",75477,1018,2775,1826,1481,2823,1409,3316,13295,3324,1011,1869,2492,1226,1508,6383,426,2224,1185,2493,1264,3470,2790,1690,1661,5231,465,1154,2624,1092,1866,84
"271","Kota Cilegon",76865,1248,3490,2642,2472,3533,1639,2423,9481,3406,248,1723,1306,951,2002,7455,276,3463,802,2000,1955,3079,4172,2586,1677,4853,447,1262,2637,1269,2369,NA
"272","Kota Serang",68240,656,2853,1829,1306,3596,779,1617,12606,2915,938,1333,914,660,799,6841,666,3292,723,1103,1281,3475,3093,2484,1563,3227,690,643,2458,1143,2726,30
"273","Kota Tangerang Selatan",78451,1644,3248,1424,2148,2515,1552,3785,8116,4164,965,1933,3690,1391,1735,6090,596,2354,1043,2972,1322,5114,3084,1433,1918,5992,1136,940,2814,1495,1823,15
"274","Jembrana",32892,302,1657,1121,1869,1401,412,478,6069,693,124,1099,653,964,661,2492,108,2330,404,912,901,76,79,555,757,1604,620,899,928,805,1626,290
"275","Tabanan",40056,598,1978,1055,2226,1797,602,556,5370,1531,210,910,938,407,951,3355,449,2601,313,1491,922,1217,120,886,886,2190,1585,1082,1598,920,1216,95
"276","Badung",66126,955,2197,1347,2336,2094,1434,959,11763,3451,771,1244,2020,1084,2129,5050,193,3197,694,2436,993,1657,752,1890,1910,4412,1488,1141,2239,1204,2731,355
"277","Gianyar",47170,528,1966,1041,2178,1976,1397,1555,6350,2327,591,640,1258,1299,1366,3900,561,1989,234,1971,978,1715,524,1136,1172,1582,1178,1331,1446,1042,1875,60
"278","Klungkung",23961,289,1201,714,1697,1048,287,520,3411,552,194,982,256,660,526,2346,85,1246,191,863,417,1094,48,615,635,1088,375,307,802,462,914,136
"279","Bangli",32302,281,1337,1263,2027,1708,742,735,4775,606,77,942,823,255,703,2614,151,2962,49,576,744,753,93,868,887,754,610,1198,2444,657,628,38
"280","Karangasem",21475,107,1410,716,1829,848,163,1201,3322,343,68,320,267,385,439,2600,57,1699,118,317,332,78,9,394,583,434,536,589,1043,477,410,382
"281","Buleleng",32406,356,1607,1184,1722,1434,284,457,5578,889,91,957,618,244,541,3345,131,2423,141,1046,668,187,40,1374,554,738,552,619,2095,632,1292,606
"282","Kota Denpasar",78047,1040,2780,1652,3289,2019,1477,995,16638,3543,1388,554,2545,1210,2206,5351,356,3200,1184,3006,1056,1335,910,2598,2432,6748,1278,1037,1806,1073,3271,67
"283","Lombok Barat",44276,278,2659,2181,1912,2553,137,810,4645,706,910,245,610,1106,465,3370,693,4800,581,1221,1252,28,82,2078,1710,941,824,707,2850,1220,2592,112
"284","Lombok Tengah",47081,230,1815,1545,1532,2131,212,1159,7488,326,2810,383,772,3304,368,2462,324,4159,859,1874,1028,32,226,1992,1603,637,1025,1352,3080,947,1391,16
"285","Lombok Timur",47215,513,2516,1813,2196,2972,306,869,6164,476,1699,488,1562,2385,428,2539,223,4963,485,1121,3306,47,469,849,798,418,914,1553,2740,1094,1307,1
"286","Sumbawa",47664,456,1919,1909,2240,2251,325,2025,7630,1131,651,229,1568,1008,589,4319,295,3330,1020,971,750,147,246,2007,2207,2486,1243,1092,1911,940,662,108
"287","Dompu",32992,129,1490,870,2209,2880,558,1211,3268,992,231,74,603,604,73,4131,649,2270,712,295,1957,60,321,961,768,807,1140,1362,1329,696,339,2
"288","Bima",33950,153,2187,1651,1175,2773,259,582,4700,956,543,9,324,459,269,3856,558,2847,785,711,3328,16,53,436,1293,326,994,604,817,678,603,6
"289","Sumbawa Barat",62819,624,3131,2741,2086,2754,261,1325,7381,1078,3024,335,1220,2148,831,4303,361,4417,2518,2441,820,183,413,2119,4191,2831,2629,2284,2649,994,730,NA
"290","Lombok Utara",33284,259,1649,1067,2280,2440,357,1268,3693,362,1047,371,905,1027,1227,1956,530,2490,396,874,1128,13,105,1338,883,407,408,662,1942,944,898,356
"291","Kota Mataram",86753,946,3833,3462,4321,3515,596,1795,10744,2359,3007,459,2765,2546,1925,6064,392,6033,2638,4375,2940,427,773,2614,3094,3182,2190,1758,2487,1856,3440,215
"292","Kota Bima",79100,492,3651,3042,2631,3776,450,1463,15985,2687,1090,66,1312,1119,1181,7582,666,4201,2451,2719,798,234,392,5198,4911,2497,2188,1444,1636,1317,1718,205
"293","Sumba Barat",15761,153,1026,444,60,1092,18,44,1622,231,1514,11,443,708,43,757,124,1057,119,1724,191,47,65,165,465,294,288,180,2437,92,42,303
"294","Sumba Timur",20782,166,1433,502,526,1181,64,225,4845,149,1156,44,345,1140,207,1353,17,588,384,666,208,23,1,904,690,271,244,486,2315,90,167,391
"295","Kupang",15832,64,770,322,886,1006,98,101,4475,91,831,NA,152,721,10,604,87,694,374,295,113,13,NA,250,488,87,196,169,2306,36,69,526
"296","Timor Tengah Selatan",24928,107,812,910,395,1243,88,143,8260,226,963,2,608,564,77,1769,148,1000,455,1150,84,13,3,816,577,87,144,214,2766,125,38,1140
"297","Timor Tengah Utara",23225,252,1101,970,1472,2107,247,251,6098,291,359,19,503,431,70,1136,82,1017,198,661,267,28,38,111,803,205,204,313,2330,233,57,1372
