"","kabupaten_kota","ikan","ekor_kuning","tongkol_tuna_cakalang_dencis_ikan_kayu","tenggiri","selar","kembung_lema_tatare_banyar_banyara","teri","bandeng","gabus","mujair","mas_nila","lele","kakap","baronang","patin","bawal","gurame","ikan_segar_basah_lainnya","udang_lobster","cumi_cumi_sotong_gurita","ketam_kepiting_rajungan","kerang_siput_bekicot_remis","udang_dan_hewan_air_lainnya_yang_segar_lainnya","kembung_diawetkan_peda","tenggiri_diawetkan","tongkol_tuna_cakalang_diawetkan","teri_diawetkan","selar_diawetkan","sepat_diawetkan","bandeng_diawetkan","gabus_diawetkan","ikan_dalam_kaleng_sardencis_tuna_dalam_kaleng_dsb","ikan_diawetkan_lainnya","udang_diawetkan_ebi_rebon","cumi_cumi_sotong_gurita_diawetkan","udang_dan_hewan_air_lainnya_yang_diawetkan"
"456","Kepulauan Aru",15411,512,1598,191,NA,3035,142,NA,NA,NA,NA,NA,635,231,NA,NA,NA,6898,761,421,191,72,2,10,NA,NA,13,NA,NA,NA,NA,12,689,NA,NA,NA
"457","Seram Bagian Barat",14485,972,2334,137,1777,1721,254,5,20,NA,NA,NA,100,424,NA,13,52,5739,35,365,31,33,NA,3,NA,232,16,49,NA,NA,NA,NA,154,NA,15,3
"458","Seram Bagian Timur",11901,211,3463,124,677,2124,18,36,NA,NA,NA,NA,1416,472,41,NA,NA,2579,119,328,45,33,NA,NA,20,14,29,17,NA,NA,NA,NA,123,NA,14,NA
"459","Maluku Barat Daya",16894,1868,1020,20,64,322,NA,NA,NA,NA,NA,NA,3390,815,NA,NA,NA,6840,118,1756,44,11,271,NA,NA,NA,NA,NA,NA,NA,NA,72,213,9,59,1
"460","Buru Selatan",12948,769,2443,32,980,909,NA,10,9,NA,20,73,1916,201,15,NA,36,4290,16,306,75,29,14,6,31,505,19,93,NA,NA,NA,6,133,NA,3,10
"461","Kota Ambon",17989,284,3835,113,1522,812,274,NA,NA,NA,NA,3,193,174,NA,6,31,9139,289,265,34,16,16,NA,7,738,NA,5,NA,NA,NA,27,200,5,NA,NA
"462","Kota Tual",14608,711,1226,NA,419,869,972,29,NA,25,NA,11,2815,1280,NA,NA,5,5686,109,326,24,61,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,37,NA,NA,1
"463","Halmahera Barat",17702,2584,7378,23,725,1634,402,NA,36,321,5,25,519,42,NA,68,70,1719,94,174,75,19,24,84,6,772,738,12,NA,NA,NA,38,115,NA,NA,NA
"464","Halmahera Tengah",16293,1694,5305,142,1604,1823,76,177,18,82,180,153,1014,419,36,21,14,2476,91,95,1,40,25,13,7,493,99,23,NA,NA,NA,45,120,5,NA,NA
"465","Kepulauan Sula",11247,432,4515,46,604,1758,230,NA,NA,NA,NA,NA,1426,143,NA,NA,NA,1488,222,270,14,NA,6,7,NA,42,20,6,NA,NA,NA,NA,19,NA,NA,NA
"466","Halmahera Selatan",15824,773,5181,120,1687,1146,236,NA,57,12,NA,NA,2875,215,NA,NA,NA,2424,121,218,22,4,NA,48,15,287,205,4,NA,NA,38,NA,135,NA,NA,NA
"467","Halmahera Utara",19989,2174,6918,206,836,1594,845,NA,87,517,500,NA,1311,233,NA,NA,136,2088,309,525,149,90,13,18,NA,621,695,2,NA,NA,NA,35,78,11,NA,NA
"468","Halmahera Timur",17232,1146,5499,48,191,3390,699,NA,68,61,131,49,720,428,NA,NA,91,2053,460,729,205,145,8,43,NA,288,560,87,NA,NA,NA,46,48,2,39,NA
"469","Pulau Morotai",16177,1961,7900,71,93,213,164,79,14,NA,NA,75,1626,355,NA,NA,55,2061,198,209,76,29,3,10,13,266,192,12,NA,NA,NA,62,440,NA,NA,NA
"470","Pulau Taliabu",10997,949,3913,131,195,1219,210,NA,67,35,NA,NA,2040,1495,NA,NA,7,357,17,66,153,17,NA,4,38,7,12,12,NA,NA,NA,NA,52,NA,NA,NA
