"","kabupaten_kota","minyak_dan_kelapa","minyak_kelapa","minyak_goreng_kelapa_sawit_bunga_matahari","kelapa_tidak_termasuk_santan_instan","minyak_dan_kelapa_lainnya"
"371","Bolaang Mongondow",4158,837,3008,308,5
"372","Minahasa",3644,280,3237,124,2
"373","Kepulauan Sangihe",3923,585,2574,754,10
"374","Kepulauan Talaud",4865,960,2980,923,1
"375","Minahasa Selatan",4073,946,2945,175,8
"376","Minahasa Utara",4236,1659,2319,255,4
"377","Bolaang Mongondow Utara",3952,707,3148,94,3
"378","Siau Tagulandang Biaro",4051,1788,1821,434,8
"379","Minahasa Tenggara",3730,1177,2420,127,5
"380","Bolaang Mongondow Selatan",3921,915,2847,160,NA
"381","Bolaang Mongondow Timur",4144,875,3031,238,NA
"382","Kota Manado",4073,1562,2372,123,15
"383","Kota Bitung",4458,1765,2453,223,17
"384","Kota Tomohon",3799,460,3220,102,17
"385","Kota Kotamobagu",3825,76,3593,144,12
"386","Banggai Kepulauan",3536,650,2531,355,NA
"387","Banggai",3831,742,2834,241,13
"388","Morowali",3996,662,2952,373,9
"389","Poso",3531,234,2929,346,22
"390","Donggala",3312,821,2006,477,7
"391","Toli-Toli",2654,601,1848,187,17
"392","Buol",3089,670,2315,98,6
"393","Parigi Moutong",2888,311,2173,399,6
"394","Tojo Una-Una",3255,647,2035,465,108
"395","Sigi",3492,583,2030,748,130
"396","Banggai Laut",3286,1185,1855,247,NA
"397","Morowali Utara",4168,1055,2746,363,4
"398","Kota Palu",3531,385,2707,411,28
"399","Kepulauan Selayar",3805,827,2530,448,NA
"400","Bulukumba",3563,596,2633,319,16
"401","Bantaeng",3327,372,2651,301,2
"402","Jeneponto",2972,298,2369,293,12
"403","Takalar",2952,318,2238,325,70
"404","Gowa",3363,160,2811,389,3
"405","Sinjai",3371,59,2922,384,5
"406","Maros",3211,478,2439,264,29
"407","Pangkajene dan Kepulauan",3077,377,2310,357,33
"408","Barru",2990,387,2347,251,4
"409","Bone",2552,166,2086,286,13
"410","Soppeng",2949,617,2078,243,11
"411","Wajo",3605,614,2767,204,21
"412","Sidenreng Rappang",3003,195,2411,391,7
"413","Pinrang",2755,143,2309,294,10
"414","Enrekang",2779,117,2431,221,10
"415","Luwu",2388,121,2075,188,5
"416","Tana Toraja",2475,231,2124,115,5
"417","Luwu Utara",2979,144,2562,264,9
"418","Luwu Timur",2988,330,2493,161,4
"419","Toraja Utara",2386,263,2015,91,17
"420","Kota Makasar",3056,784,1957,212,104
"421","Kota Parepare",3542,162,3022,233,125
"422","Kota Palopo",2324,119,1929,250,25
"423","Buton",2322,50,1938,317,17
"424","Muna",2169,158,1905,101,5
"425","Konawe",2165,189,1731,182,62
"426","Kolaka",2475,449,1760,252,14
"427","Konawe Selatan",2902,137,2469,288,7
"428","Bombana",2850,344,2246,247,13
